model,iteration,validation_rmse,validation_mae,validation_r2,params,feature_set
Random Forest,4,27.278634569301744,17.1802958889204,0.6794455058822867,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",weather
Random Forest,2,27.71721732751434,17.639959326616015,0.6690549662710221,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",weather
Random Forest,10,27.912774359160977,17.49670081234732,0.6643685696019488,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 300}",weather
Random Forest,3,28.02054752756377,17.520344790137447,0.6617717733371629,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 200}",weather
Random Forest,15,28.571557876484622,18.185012956145826,0.6483387978822988,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 200}",weather
XGBoost,11,21.665016720469374,12.619514912337886,0.797803016974556,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.85}",weather
XGBoost,8,21.763645415435878,12.869472593928851,0.7959578471167741,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}",weather
XGBoost,25,21.883851668635764,12.915731003759744,0.7936976671601692,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_lambda"": 5, ""subsample"": 0.7}",weather
XGBoost,7,22.021251131234965,13.024457736764967,0.7910989641674405,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.7}",weather
XGBoost,3,22.09757944701821,12.829212029440088,0.7896483019962144,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 1.0}",weather
XGBoost,12,22.11782339033587,13.190062319942578,0.7892627123951986,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",weather
XGBoost,15,22.22133840150368,13.1442180118839,0.7872855268526386,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 0.85}",weather
XGBoost,19,22.23499349403567,12.976240229799835,0.7870240189078145,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 10, ""subsample"": 0.7}",weather
XGBoost,21,22.27470958442849,13.169783093438541,0.7862625050661128,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_lambda"": 1, ""subsample"": 1.0}",weather
XGBoost,9,22.302980015861486,13.182395689761814,0.7857196216111028,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 0.85}",weather
XGBoost,5,22.42235585089746,13.147085711326167,0.7834196279069073,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 10, ""subsample"": 0.85}",weather
XGBoost,24,22.509559079210323,13.145449953295614,0.7817317380431446,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 1.0}",weather
