model,iteration,validation_rmse,validation_mae,validation_r2,params,feature_set
Random Forest,18,21.74040651903105,12.13600018740482,0.7963933608183231,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 500}",footprints
Random Forest,17,21.907975037212715,12.47060716615217,0.793242587287412,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",footprints
Random Forest,20,21.970333725099813,12.50201995697787,0.7920638868018738,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 500}",footprints
Random Forest,11,22.025990231957312,12.46065468970328,0.7910090410680575,"{""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 10, ""n_estimators"": 200}",footprints
Random Forest,8,22.05850556419601,12.548326413150654,0.7903915499884162,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 5, ""n_estimators"": 500}",footprints
Random Forest,14,22.10808136054321,12.512628777978634,0.7894483144558782,"{""max_depth"": 24, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 300}",footprints
Random Forest,13,22.16123457004482,12.651633891426922,0.7884346623697891,"{""max_depth"": 12, ""max_features"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 200}",footprints
Random Forest,19,22.204069803351416,12.593008705956588,0.787616006808943,"{""max_depth"": 16, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",footprints
Random Forest,6,22.31481280801481,12.94653136272446,0.7854921894213919,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",footprints
Random Forest,16,22.32708746521568,12.915931971346676,0.7852561368915122,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""n_estimators"": 300}",footprints
Random Forest,5,22.32822876826106,12.6765949280955,0.7852341820270944,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",footprints
Random Forest,1,22.334682936594643,12.933058872777409,0.7851100042346663,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 300}",footprints
Random Forest,7,22.498500774258293,12.992632546089729,0.7819461433194282,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""n_estimators"": 200}",footprints
Random Forest,9,24.47774226464753,14.494826502369529,0.7418932696049743,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",footprints
Random Forest,4,25.89374174080817,15.79079782081655,0.7111673809301775,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",footprints
Random Forest,10,26.647412584022906,16.218241345229757,0.694108994893534,"{""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 300}",footprints
Random Forest,3,26.96800642017386,16.46180129788658,0.6867043968718833,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 200}",footprints
Random Forest,2,27.10310658518476,17.087925497117666,0.68355753411331,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200}",footprints
Random Forest,15,27.90422817511359,17.647198384285932,0.6645740618134057,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 200}",footprints
XGBoost,11,20.945925391174825,12.095353811254764,0.8110026483422127,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.85}",footprints
XGBoost,24,20.99755387518428,12.346339225614477,0.8100698012977824,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.08, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_lambda"": 1, ""subsample"": 1.0}",footprints
XGBoost,14,21.04682125229764,12.17994345923104,0.8091774744532015,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 5, ""subsample"": 1.0}",footprints
XGBoost,7,21.05194536040958,12.37850563584116,0.809084546949563,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 5, ""subsample"": 0.7}",footprints
