data_year,tract_geoid,NAME,acs_median_household_income,acs_per_capita_income,acs_unemployment_rate,acs_poverty_rate,acs_no_high_school_diploma_pct,acs_bachelor_or_higher_pct,acs_total_households,acs_avg_household_size,acs_total_housing_units,acs_occupied_housing_units,acs_vacancy_rate,acs_owner_occupied_pct,acs_renter_occupied_pct,acs_crowded_housing_pct
2022,17031819500,Census Tract 8195; Cook County; Illinois,92337.0,62880.0,1.2,6.1,6.299999999999997,46.3,1493.0,2.23,1669.0,1493.0,10.5,61.6,38.4,1.0
2022,17031819600,Census Tract 8196; Cook County; Illinois,200114.0,78823.0,2.2,4.1,1.4000000000000057,68.3,1391.0,2.84,1391.0,1391.0,0.0,91.2,8.8,0.0
2022,17031819700,Census Tract 8197; Cook County; Illinois,171719.0,80730.0,2.2,2.8,0.5999999999999943,79.9,1794.0,3.18,1888.0,1794.0,5.0,96.0,4.0,0.0
2022,17031819801,Census Tract 8198.01; Cook County; Illinois,206848.0,82779.0,4.0,2.6,1.0999999999999943,90.0,1606.0,3.2,1666.0,1606.0,3.6,93.0,7.0,0.0
2022,17031819802,Census Tract 8198.02; Cook County; Illinois,189667.0,127521.0,1.3,2.2,0.7000000000000028,78.8,928.0,2.65,943.0,928.0,1.6,97.1,2.9,0.0
2022,17031819900,Census Tract 8199; Cook County; Illinois,218906.0,91771.0,2.7,0.8,0.4000000000000057,78.6,1047.0,3.11,1047.0,1047.0,0.0,100.0,0.0,0.0
2022,17031820000,Census Tract 8200; Cook County; Illinois,250001.0,122931.0,4.6,1.3,3.700000000000003,76.7,676.0,3.2,729.0,676.0,7.3,90.7,9.3,2.1
2022,17031820101,Census Tract 8201.01; Cook County; Illinois,131694.0,77162.0,4.3,4.3,3.5,59.7,3369.0,2.26,3491.0,3369.0,3.5,93.9,6.1,1.7
2022,17031820103,Census Tract 8201.03; Cook County; Illinois,86434.0,54490.0,2.3,5.6,7.700000000000003,37.3,1730.0,2.4,1750.0,1730.0,1.1,69.0,31.0,0.0
2022,17031820104,Census Tract 8201.04; Cook County; Illinois,78083.0,50502.0,6.8,8.8,5.299999999999997,42.6,1829.0,2.43,1919.0,1829.0,4.7,70.5,29.5,2.3
2022,17031820202,Census Tract 8202.02; Cook County; Illinois,73750.0,36751.0,5.8,10.4,13.400000000000006,16.5,1394.0,2.36,1585.0,1394.0,12.1,76.7,23.3,3.3000000000000003
2022,17031820203,Census Tract 8202.03; Cook County; Illinois,136694.0,73297.0,1.4,2.1,7.0,47.6,1306.0,2.83,1344.0,1306.0,2.8,98.4,1.6,0.0
2022,17031820204,Census Tract 8202.04; Cook County; Illinois,109479.0,99698.0,6.9,7.0,6.299999999999997,58.5,2210.0,1.96,2447.0,2210.0,9.7,86.6,13.4,2.3
2022,17031820300,Census Tract 8203; Cook County; Illinois,55845.0,29458.0,3.8,13.8,36.6,14.3,1751.0,3.29,1872.0,1751.0,6.5,57.1,42.9,11.6
2022,17031820400,Census Tract 8204; Cook County; Illinois,49598.0,25835.0,10.9,12.9,33.8,11.2,1849.0,2.84,1989.0,1849.0,7.0,58.0,42.0,5.5
2022,17031820501,Census Tract 8205.01; Cook County; Illinois,68837.0,33363.0,7.7,8.6,13.0,18.1,1955.0,2.7,2155.0,1955.0,9.3,73.2,26.8,4.7
2022,17031820502,Census Tract 8205.02; Cook County; Illinois,56037.0,27099.0,10.6,17.0,17.099999999999994,17.3,2181.0,2.43,2304.0,2181.0,5.3,64.9,35.1,2.8
2022,17031820603,Census Tract 8206.03; Cook County; Illinois,65922.0,30118.0,7.6,21.1,20.299999999999997,16.6,1845.0,2.85,2017.0,1845.0,8.5,76.0,24.0,2.4
2022,17031820604,Census Tract 8206.04; Cook County; Illinois,47577.0,25456.0,2.6,26.1,23.900000000000006,8.8,1278.0,2.77,1399.0,1278.0,8.6,45.3,54.7,6.1
2022,17031820605,Census Tract 8206.05; Cook County; Illinois,56250.0,25556.0,4.7,22.4,8.299999999999997,11.9,1925.0,2.92,2144.0,1925.0,10.2,22.8,77.2,13.5
2022,17031820606,Census Tract 8206.06; Cook County; Illinois,96304.0,47688.0,4.1,13.9,10.099999999999994,29.3,1722.0,2.31,1810.0,1722.0,4.9,74.2,25.8,2.7
2022,17031820700,Census Tract 8207; Cook County; Illinois,67067.0,30078.0,4.6,12.4,15.200000000000003,18.5,2392.0,2.92,2663.0,2392.0,10.2,87.6,12.4,2.2
2022,17031820800,Census Tract 8208; Cook County; Illinois,83495.0,30531.0,3.1,9.7,17.900000000000006,14.4,1027.0,3.34,1092.0,1027.0,6.0,83.4,16.6,4.9
2022,17031820901,Census Tract 8209.01; Cook County; Illinois,73603.0,33599.0,5.9,5.1,24.400000000000006,10.8,1696.0,2.95,1876.0,1696.0,9.6,65.7,34.3,6.9
2022,17031820902,Census Tract 8209.02; Cook County; Illinois,103846.0,29156.0,10.6,9.9,26.700000000000003,12.3,1768.0,3.47,1860.0,1768.0,4.9,89.5,10.5,3.8
2022,17031821001,Census Tract 8210.01; Cook County; Illinois,61853.0,28844.0,6.7,11.2,23.700000000000003,17.0,1649.0,2.95,1728.0,1649.0,4.6,64.3,35.7,4.4
2022,17031821002,Census Tract 8210.02; Cook County; Illinois,65513.0,35766.0,12.7,15.4,17.700000000000003,15.7,1834.0,2.74,1919.0,1834.0,4.4,81.0,19.0,1.7
2022,17031821101,Census Tract 8211.01; Cook County; Illinois,81912.0,31075.0,4.8,12.4,16.200000000000003,17.0,1468.0,3.23,1478.0,1468.0,0.7,84.2,15.8,3.5
2022,17031821102,Census Tract 8211.02; Cook County; Illinois,81139.0,33175.0,2.6,14.7,20.799999999999997,16.2,1538.0,2.98,1585.0,1538.0,3.0,87.2,12.8,1.3
2022,17031821200,Census Tract 8212; Cook County; Illinois,38880.0,25226.0,18.4,22.7,23.299999999999997,22.0,2355.0,2.26,2483.0,2355.0,5.2,42.5,57.5,9.399999999999999
2022,17031821300,Census Tract 8213; Cook County; Illinois,51806.0,25177.0,12.7,19.5,27.599999999999994,12.5,2301.0,2.54,2540.0,2301.0,9.4,33.7,66.3,4.2
2022,17031821401,Census Tract 8214.01; Cook County; Illinois,51310.0,23389.0,12.5,23.7,7.400000000000006,18.6,998.0,2.73,1225.0,998.0,18.5,50.7,49.3,7.6
2022,17031821402,Census Tract 8214.02; Cook County; Illinois,66522.0,25981.0,20.1,6.6,7.700000000000003,13.2,1232.0,2.74,1359.0,1232.0,9.3,45.3,54.7,0.9
2022,17031821500,Census Tract 8215; Cook County; Illinois,28173.0,19273.0,12.3,29.5,12.400000000000006,11.7,523.0,2.38,835.0,523.0,37.4,28.1,71.9,1.7
2022,17031821600,Census Tract 8216; Cook County; Illinois,79395.0,39827.0,4.4,6.9,3.9000000000000057,36.1,1804.0,2.36,1941.0,1804.0,7.1,80.9,19.1,2.1
2022,17031821700,Census Tract 8217; Cook County; Illinois,96607.0,42133.0,2.7,5.9,10.799999999999997,40.9,1782.0,2.69,1860.0,1782.0,4.2,79.3,20.7,1.0
2022,17031821800,Census Tract 8218; Cook County; Illinois,88024.0,45901.0,5.6,5.8,4.799999999999997,48.9,2049.0,2.54,2166.0,2049.0,5.4,82.2,17.8,0.0
2022,17031821900,Census Tract 8219; Cook County; Illinois,100179.0,38088.0,2.1,4.8,5.599999999999994,42.6,1814.0,2.91,1854.0,1814.0,2.2,91.3,8.7,2.2
2022,17031822000,Census Tract 8220; Cook County; Illinois,56841.0,28736.0,5.9,5.6,11.200000000000003,18.3,1907.0,2.25,1941.0,1907.0,1.8,74.5,25.5,0.0
2022,17031822101,Census Tract 8221.01; Cook County; Illinois,78059.0,32628.0,9.3,10.9,15.700000000000003,26.0,1549.0,2.93,1692.0,1549.0,8.5,81.3,18.7,5.1
2022,17031822102,Census Tract 8221.02; Cook County; Illinois,56963.0,35575.0,6.0,7.2,8.400000000000006,30.5,1966.0,2.34,2116.0,1966.0,7.1,81.2,18.8,0.0
2022,17031822200,Census Tract 8222; Cook County; Illinois,86299.0,32546.0,11.8,16.2,4.0,23.0,1301.0,2.92,1348.0,1301.0,3.5,84.9,15.1,6.0
